id,metric_name,human_goal,investment_priority,risk_group,type,poc_analytics,goal_tracking,definition,definition_status,target,tshirt_lift,operationalization_status,m360_link,added_to_scorecard,v3_priority_id,v3_goal_id,v3_goal_title,data_risk_priority_id,data_risk_priority_name,nsm_rollup,latest_date,latest_value,latest_status,latest_source
land_aligned_response_plans_before_live_date_for_every_h2_re_1,Land aligned response plans before live date for every H2 regulatory obligation,"1.1: Maintain and strengthen existing critical positions, and land aligned response plans before live date for every regulatory obligation that will come into effect in H2",1. Meet our obligation response requirements,User Risk,Ship Goal,"TBD, Fernando interim",Goal,,,,,,,,P1,1A,Land Aligned Response Plans and mature inbound response capabilities,,,,,,,
90_of_l1_supported_escalations_have_t_c_input_filled_and_al_2,>90% of L1+ supported escalations have T&C input filled and aligned ≥24h before review,1.2: Operate inbound risk-response and escalation processes within SLA across User Risk,1. Meet our obligation response requirements,User Risk,Existing,Barnaby Cooper,Goal,,Finalized,,,Pending,,Pending,P1,1A,Land Aligned Response Plans and mature inbound response capabilities,,,,,,,
all_pending_reg_response_obligations_triaged_within_5_busine_3,All pending Reg Response Obligations triaged within 5 business days,1.2: Operate inbound risk-response and escalation processes within SLA across User Risk,1. Meet our obligation response requirements,User Risk,New,Barnaby Cooper,Goal,[T&C Decisions] All pending Reg Response gap impact assessments get triaged (closed or escalated to Decision pod) within 5 business days,Pending,,,Pending,,Pending,P1,1A,Land Aligned Response Plans and mature inbound response capabilities,,,,,,,
sins_under_slo_4,% SINs under SLO,1.2: Operate inbound risk-response and escalation processes within SLA across User Risk,1. Meet our obligation response requirements,User Risk,Existing,Alice Berthaux,Goal,[T&C Controls],Pending,,,Pending,,Pending,P1,1A,Land Aligned Response Plans and mature inbound response capabilities,P0,Keep the Company Running,,,,,
prepare_and_ship_critical_notification_campaigns_and_privacy_5,Prepare and ship critical notification campaigns and privacy policy updates,1.3 Ship the H2 Critical Path Deliverables the business depends on,1. Meet our obligation response requirements,User Risk,Ship Goal,Harshpreet Singh,Goal,,,,,,,,P1,1A,Land Aligned Response Plans and mature inbound response capabilities,,,,,,,
sins_under_slo_6,% SINs under SLO,Keep SIN within SLO so as to meet regulatory deadlines,1. Meet our obligation response requirements,Data Risk,Existing,Scott Murani,Goal,% of SINs (Specialized Input Needed) completed within SLO,Pending,,,Pending,,Pending,P1,1B,Mature efficacy of meeting ongoing obligations,P0,Keep the Company Running,,,,,
requirements_effective_green_yellow_7,% Requirements effective (green+yellow),"Maintain controls, address SEVs, deliver MAPs",1. Meet our obligation response requirements,Data Risk,Existing,Iva Marinkovic Bugarcic,Goal,% of requirements with effective controls (green or yellow in the control-maturity quadrant),Pending,,,Pending,,Pending,P1,1B,Mature efficacy of meeting ongoing obligations,P0,Keep the Company Running,NSM1,,,,
requirements_with_effective_self_evidencing_controls_green_8,% Requirements with effective self-evidencing controls (% green),"Manage risks globally with self-evidencing, self-adopting controls rather than bespoke case-by-case",1. Meet our obligation response requirements,Data Risk,Existing,Iva Marinkovic Bugarcic,Goal,% of requirements with effective self-evidencing controls (green quadrant),Pending,,,Pending,,Pending,P1,1B,Mature efficacy of meeting ongoing obligations,P1,"Meet all our Risks with Robust, Global Controls",NSM4.6,,,,
aligned_positions_for_the_7_priority_areas_9,Aligned positions for the 7 priority areas,Mature risk positions that manage internal + external pressure,1. Meet our obligation response requirements,Data Risk,Ship Goal,Baris Cem Sal,Goal,"Aligned positions reached for the 7 priority areas: RD, RL Wearables, Cloud, Self-preferencing, Data In, Access, Anonymization (each reviewed + aligned)",Pending,,,Pending,,Pending,P1,1A,Land Aligned Response Plans and mature inbound response capabilities,P2,Strengthen Data Risk Positions,,,,,
tbc_see_comment_10,TBC - see comment,Mature AI regulatory response and compliance strategy,1. Meet our obligation response requirements,AI Risk,Ship Goal,Emily Hahn,Goal,,,,,,,,P1,1A,Land Aligned Response Plans and mature inbound response capabilities,,,,,,,
