Priority,Goal,Goal_Metric_Clause,Is_Placeholder,Has_Numeric_Goal,Target,Current_Value,Confidence,Sheet_Mapped_Metric_Name,Sheet_Target,Sheet_POC,Owner,Risk_Group_Owner,Reason
P1 - Meet our obligations,1A - Land Aligned Response Plans and mature inbound response capabilities,"Land frontier/high-risk positions in priority launch regions (EU, Korea, Vietnam, CA)",NO,NO,,,,,,,Zef RosnBrick / Allison Hartnett / Arash Nikkar,All Areas Leads,
P1 - Meet our obligations,1A - Land Aligned Response Plans and mature inbound response capabilities,"Ship EU AI Act deliverables Aug 2026 (AI transparency, content labeling, prohibited practices)",NO,NO,,,,,,,Zef RosnBrick / Allison Hartnett / Arash Nikkar,All Areas Leads,
P1 - Meet our obligations,1A - Land Aligned Response Plans and mature inbound response capabilities,Ship EU AI Act deliverables Dec 2026 (system-level requirements),NO,NO,,,,,,,Zef RosnBrick / Allison Hartnett / Arash Nikkar,All Areas Leads,
P1 - Meet our obligations,1A - Land Aligned Response Plans and mature inbound response capabilities,Youth: Deliver aligned Response Plans for 100% regs with enforcement Q3 2026 - Q1 2027,NO,YES,100%,,MEDIUM,Land aligned response plans before live date for every H2 regulatory obligation,,"TBD, Fernando interim",Zef RosnBrick / Allison Hartnett / Arash Nikkar,All Areas Leads,"Score 3, matched keywords ['aligned', 'response', 'plans'], goal_id 1A candidate 9"
P1 - Meet our obligations,1A - Land Aligned Response Plans and mature inbound response capabilities,Youth: Achieve deploy-ready for 100% regs with enforcement H2,NO,YES,100%,,MEDIUM,Deploy ready for new regulations,,Taylor Orner,Zef RosnBrick / Allison Hartnett / Arash Nikkar,All Areas Leads,"Score 2, matched keywords ['deploy', 'ready'], goal_id 1A candidate 9"
P1 - Meet our obligations,1A - Land Aligned Response Plans and mature inbound response capabilities,"Youth: Develop capabilities for deploy-ready in high-risk/high-complexity (social media bans, ADF-model bills, India DPDP)",NO,NO,,,,,,,Zef RosnBrick / Allison Hartnett / Arash Nikkar,All Areas Leads,
P1 - Meet our obligations,1A - Land Aligned Response Plans and mature inbound response capabilities,"Data Risk: Mature positions & decision making in 7 high priority areas (Restricted Data, RL Wearables, Cloud, Self-preferencing/cross-promotion, Data In, Portability Access, Anonymization)",NO,NO,,,,,,,Zef RosnBrick / Allison Hartnett / Arash Nikkar,All Areas Leads,
P1 - Meet our obligations,1A - Land Aligned Response Plans and mature inbound response capabilities,Inquiries tooling: 95% inquiries in tooling,NO,YES,95%,,NONE,,,,Zef RosnBrick / Allison Hartnett / Arash Nikkar,All Areas Leads,"Score 0, matched keywords [], goal_id 1A candidate 9"
P1 - Meet our obligations,1A - Land Aligned Response Plans and mature inbound response capabilities,Inquiries tooling: Usefulness to 70% bar (Inquiries),NO,YES,70%,,NONE,,,,Zef RosnBrick / Allison Hartnett / Arash Nikkar,All Areas Leads,"Score 0, matched keywords [], goal_id 1A candidate 9"
P1 - Meet our obligations,1A - Land Aligned Response Plans and mature inbound response capabilities,100% legal analysis AI-first with human review,NO,YES,100%,,NONE,,,,Zef RosnBrick / Allison Hartnett / Arash Nikkar,All Areas Leads,"Score 1, matched keywords ['review'], goal_id 1A candidate 9"
P1 - Meet our obligations,1A - Land Aligned Response Plans and mature inbound response capabilities,Understand phase to 14 days (Laws),NO,YES,14 days,,LOW,All pending Reg Response Obligations triaged within 5 business days,,Barnaby Cooper,Zef RosnBrick / Allison Hartnett / Arash Nikkar,All Areas Leads,"Score 1, matched keywords ['days'], goal_id 1A candidate 9"
P1 - Meet our obligations,1A - Land Aligned Response Plans and mature inbound response capabilities,Obligation wall time: Triage (passage to LSB) and Understand phase (triage to end of GIA),NO,NO,,,,,,,Zef RosnBrick / Allison Hartnett / Arash Nikkar,All Areas Leads,
P1 - Meet our obligations,1B - Mature efficacy of meeting ongoing obligations,"Demonstrate youth compliance via E2E controls library + testing, commitment inventory, audits (DSA Art 28, TMH), minimizing negative findings",NO,NO,,,,,,,Susan Cooper / Arash Nikkar / Jackie Zajac,RCP / GRC Data Risk User Risk / Area Response Platform,
P1 - Meet our obligations,1B - Mature efficacy of meeting ongoing obligations,"Deliver FTC Assessment 4 Cycle 2 and MAPs >90% on-time, audit rate <7% reopen, reduce erroneous testing",NO,YES,>90% | <7%,,MEDIUM,SVT Automation Deadline Met,,Ashirbad Ghosh,Susan Cooper / Arash Nikkar / Jackie Zajac,RCP / GRC Data Risk User Risk / Area Response Platform,"Score 2, matched keywords ['ftc', 'cycle'], goal_id 1B candidate 15"
